ACH_A09 四种思路 | 本世分别实际使用过四种普通技能专精的合法配置
ACH_C17 全身而退 | 独自赢得同级以上非教学PVE且实际HP损失为0，敌方至少行动一次
ACH_C19 变招之人 | 一场胜利中实际使用攻击、防御、支援三种动作，各至少1次
ACH_C20 见机行事 | 一场战斗成功应对两个不同预告机制并获胜
ACH_C23 收放自如 | 使用有记录的资源生成技能，再成功支付该资源施放另一技能
ACH_C25 守到最后 | 同一首领战中本人存活，实际完成防御、治疗或护盾贡献至少3次
ACH_D20 十地图志 | 正式到访10个不同区域，排除测试区
ACH_D23 意外的发现 | 首次成为正式动态场景的发现者并完成有效调查
ACH_D24 不是路过 | 作为协助者实际完成另一人发现的动态场景贡献
ACH_D25 大地有声 | 完成5种不同正式动态场景模板的有效解决
ACH_E03 百物随身 | 历来实际取得100种不同物品定义，不要求同时持有
ACH_E04 百材识性 | 历来实际取得100种不同材料定义
ACH_E05 怪物手札 | 实际发现20种不同正式怪物模板
ACH_E06 兽行千姿 | 实际发现50种不同正式怪物模板
ACH_E07 兵器谱 | 历来实际取得5种不同武器子类型
ACH_E08 五衣百态 | 历来实际取得五种甲类各至少一件合法装备
ACH_E11 稀有之物 | 首次正常取得稀有稀有度物品
ACH_E12 一段史诗 | 首次正常取得史诗稀有度装备实例
ACH_E13 遗落的神光 | 首次通过正式获取入口取得神器，排除管理发放
ACH_E14 草木有名 | 实际取得5种带植物材料标签的不同定义
ACH_E15 山石有骨 | 实际取得5种锻材定义
ACH_E16 炼材小集 | 实际取得5种炼材定义
ACH_E17 三域之心 | 实际取得3种不同区域锻材定义
ACH_E18 九色尘埃 | 实际取得当前九种元素微尘各至少1份
ACH_E19 微光未散 | 实际取得血肉残渣、能量余烬、魔力微弧各至少1份
ACH_E20 装备备忘 | 本世实际装备过10种不同装备定义
ACH_E21 药瓶小柜 | 实际取得5种不同恢复药剂定义
ACH_E22 料理见闻 | 实际食用5种不同料理并取得合法效果
ACH_E23 书香十卷 | 实际拥有过10种不同书籍/卷宗定义
ACH_E24 自制图录 | 亲手成功制作10种不同配方定义的作品
ACH_E25 不止一面 | 同一装备实例在本人持有期间完成装备、实际使用与维修
ACH_F03 五种语言 | 与5种不同怪物模板交涉成功
ACH_F04 言有回声 | 交涉成功20次，按不同生命实例计数
ACH_F06 被拒以后 | 礼物被拒但库存未损失，随后同一实例合法交涉成功
ACH_F07 彼此理解 | 同一NPC好感达到正式第二级
ACH_F08 街巷熟面 | 本世与3名不同NPC达到正式第二级好感
ACH_F09 人情往来 | 与10名不同NPC完成非重复的有效互动或委托
ACH_F20 巡路相逢 | 首次在合法巡逻地点完成动态NPC有效互动
ACH_F21 送你一程 | 完成一次真实旅人护送与终点交接
ACH_F22 带人回家 | 完成一次真实救援转送与终点交接
ACH_F24 二十件托付 | 完成20次有实际贡献的正式NPC委托
ACH_F25 各有喜好 | 对5名不同NPC各赠送一次被接受且符合喜好的礼物
ACH_G03 十次同路 | 取得10场有本人有效贡献的组队胜利
ACH_G04 百战同行 | 取得100场有本人有效贡献的组队胜利
ACH_G05 两人一心 | 与同一身份档案队友共同完成10场合格胜利
ACH_G07 合力越峰 | 首次作为有效贡献队员参与组队首领胜利
ACH_G08 不缺一人 | 组队首领胜利结算时所有入场玩家存活且无中途换人
ACH_G09 把后背交给你 | 一场组队胜利中本人实际治疗或护盾保护其他玩家至少3次
ACH_G10 前排不退 | 一场胜利中承受敌方至少3次有效行动且本人存活
ACH_G11 手把手 | 与较本人低至少3级的队友各有实际贡献并完成同级于低级者的正式PVE
ACH_G12 协力调查 | 两名以上玩家在同一正式动态场景各完成不同有效贡献
ACH_G15 久别有信 | 与同一好友在5个不同自然日完成有效互动
ACH_G17 誓约已立 | 完成一次双方确认的正式誓约仪式
ACH_G19 十页旧事 | 与同一誓约对象记录10次不同有效回忆事件
ACH_G20 灵契初成 | 首次通过合法招募结果取得一个同伴
ACH_G22 三种相逢 | 历来合法招募3种不同同伴模板，不要求同时拥有
ACH_G23 旧友识途 | 同一同伴实例与本人共同取得20场有效胜利
ACH_G25 共同见证 | 同一场景中以发现者、协助者、见证者三种角色组合完成有效结算
ACH_H02 袋中渐满 | 完成20次有效采集结算
ACH_H03 熟悉土地 | 完成100次有效采集结算
ACH_H04 草木之友 | 正常采集取得5种不同植物材料
ACH_H05 山中取材 | 正常采集取得5种不同矿石/锻材
ACH_H06 三地收获 | 在3个不同合法区域完成实际采集
ACH_H07 带着风险 | 一次已开启且实际承担风险的险采成功
ACH_H08 封存时刻 | 合法完成一次采集封存及其最终兑现
ACH_H11 不同的芽 | 实际收获3种不同种植配方
ACH_H13 二十炉火 | 本人普通炼金成功20个实际付费批次
ACH_H14 百炉余香 | 本人普通炼金成功100个实际付费批次
ACH_H15 三槽成方 | 在一炉真实炼金中合法使用主材、辅材、催化槽并成功
ACH_H18 不只是回复 | 本人炼成一种合法增益或战斗用途炼金制品
ACH_H19 初次大成功 | 本人正式炼金首次取得大成功结果
ACH_H20 灰中再起 | 同一配方失败后本人重新付费成功，取消与断线不算失败
ACH_H22 不同的配伍 | 成功完成10种不同合法炼金配方签名
ACH_H24 先加工再入炉 | 将本人实际加工产物投入合法炼金并成功
ACH_H25 药到实处 | 本人制作的恢复药经正式使用，实际回复本人或允许的受益者
ACH_I02 十锻成器 | 本人成功锻造10个实际批次
ACH_I03 百锻成章 | 本人成功锻造100个实际批次
ACH_I08 五衣成套 | 本世实际激活一次五件甲类套装档
ACH_I15 伴我百战 | 同一武器实例随本人取得100场有效PVE胜利
ACH_I16 再淬一层 | 本人首次合法完成装备精炼成功
ACH_I17 熔铸留痕 | 本人首次完成一笔合法装备熔铸
ACH_I18 双材相合 | 在一次正式装备制作中实际消耗两种不同锻材并成功
ACH_I19 星铁入炉 | 本人制作成功并实际消耗陨铁锻锭
ACH_I20 地域铭记 | 本人制品实际包含一项合格区域锻材投入
ACH_I21 不是摆设 | 本人制成的武器亲自装备后在正式PVE造成实际伤害
ACH_I23 回炉有据 | 本人拆解所得材料用于新的合法成功制作
ACH_I24 一器一名 | 同一合法装备实例拥有制作者、投入与正式使用三类可追溯记录
ACH_I25 匠心留赠 | 本人制成的非绑定合法装备通过正式交易交给另一身份档案
ACH_J04 亲手组装 | 本人首次完成正式机巧装配并生成唯一实例
ACH_J07 五味育成 | 对同一机巧实例成功使用5种不同合格育成原液
ACH_J08 十二味谱 | 历来实际使用十二种已有育成原液各至少一次
ACH_J11 二十场默契 | 同一机巧实例与本人完成20场有贡献的胜利
ACH_J13 它的打法 | 修改合法战斗策略后，该机巧在正式战斗中实际执行一次该策略
ACH_J15 不只是一件货物 | 本人机巧产生首条合格长期记忆事件
ACH_J17 学以致用 | 合法读技能书学会技能，随后在实际玩法中有效使用
ACH_J18 三卷各异 | 实际学习3本不同技能书定义且均成功生效
ACH_J21 微尘成簇 | 本人解构取得3种不同元素粒子
ACH_J22 五材识微 | 本人解构5种不同材料定义
ACH_J23 理解后重组 | 正常解构所得粒子用于一笔合格机巧/炼金制作
ACH_J24 纸上不是全部 | 学会书中技能后完成3种不同合法有效使用场景
ACH_J25 知识有人用 | 本人合法制作的书卷/技能载体由另一身份档案实际学会
ACH_K05 十位来客 | 与10个不同身份档案完成真实市场交易
ACH_K08 花在刀刃上 | 本世正常商店或市场实付累计10000铜币，退款部分扣回
ACH_K09 劳有所得 | 本世正式任务与正常卖货净收入累计10000铜币，排除赠送和管理邮件
ACH_K10 一处落脚 | 首次合法购买家园
ACH_K14 五件小幸福 | 本世家园实际摆放5种不同家具定义
ACH_K16 串门有礼 | 在3名不同身份档案的授权家园完成有效拜访
ACH_K19 餐桌新味 | 通过公会餐厅实际食用3种不同料理
ACH_K24 办妥再归 | 同一外出行程完成任务交付、合法服务与真实返家
ACH_K25 有序的一天 | 同一自然日完成正式任务、制作或采集、有效休息三种活动
ACH_L01 私人的第一封信 | 完成本世灯火私人篇的最终结算节点
ACH_L02 一地灯火 | 完成本世灯火地方篇的最终结算节点
ACH_L03 来路相接 | 完成本世灯火汇流篇的最终结算节点
ACH_L04 世界仍有回声 | 完成本世当前开放灯火世界篇终章
ACH_L05 王都来客 | 完成王都·外使行馆的对应正式主线交接
ACH_L06 雪灯照归程 | 完成北境·雪灯接应站的对应正式主线交接
ACH_L07 云上修理 | 完成天穹修理院·转乘空港的对应正式主线交接
ACH_L08 公议之席 | 完成魔界·公议行馆的对应正式主线交接
ACH_L09 生者入天门 | 完成神界·公务接引厅的对应正式主线交接
ACH_L10 第十三间房 | 完成失落矿城·第十三间客房的对应正式主线交接
ACH_L11 六地同信 | 完成大陆联合接应营地的对应正式主线交接
ACH_L12 界路有归途 | 完成界路中枢·联合前哨的对应正式主线交接
ACH_L13 矿城的门 | 首次通过地下迷宫一个正式可结算关卡
ACH_L14 迷宫归人 | 首次完成当前地下迷宫一次完整正式通关
ACH_L15 通缉之外的功劳 | 首次完成正式PVE悬赏交付，排除玩家追杀奖励
ACH_L16 二十张委托单 | 完成20次不同正式PVE悬赏事件
ACH_L17 四店藏门 | 本世正式完成任一现有四店隐藏二转任务链
ACH_L18 切磋有度 | 首次在正式NPC切磋中满足获胜条件
ACH_L19 三位对手 | 合法击败3名不同NPC切磋对手
ACH_L20 留下性命 | 用I10现有降服机制完成一次正式降服结算
ACH_L21 丹中见路 | 在已开放仙路上完成炼丹支线D03并正式入门
ACH_L22 器中见我 | 在已开放仙路上完成炼器支线R03并正式入门
ACH_L23 阵外有路 | 在已开放仙路上完成阵法支线A03并正式入门
ACH_L24 纸上留息 | 在已开放仙路上完成符箓支线F03并正式入门
ACH_L25 木中回声 | 在已开放仙路上完成傀儡支线P03并正式入门
ACH_P01 两锋相见 | 完成首次合格完整PVP胜负结算
ACH_P02 胜负初分 | 首次合格PVP获胜
ACH_P03 五次回响 | 合格PVP获胜5次
ACH_P04 交锋成章 | 合格PVP获胜20次
ACH_P05 百折锋芒 | 合格PVP获胜50次
ACH_P06 百战有名 | 合格PVP获胜100次
ACH_P07 三种答案 | 合格战胜3个不同身份的玩家
ACH_P08 十面来风 | 合格战胜10个不同身份的玩家
ACH_P09 众锋之间 | 合格战胜25个不同身份的玩家
ACH_P10 寸步不让 | 作为防守方首次合格获胜
ACH_P11 门前五战 | 作为防守方合格获胜5次
ACH_P12 不动之界 | 作为防守方合格获胜20次
ACH_P13 剑先于言 | 作为进攻方首次合格获胜
ACH_P14 十步问锋 | 作为进攻方合格获胜10次
ACH_P15 破阵之人 | 作为进攻方合格获胜30次
ACH_P16 三日磨剑 | 在3个不同自然日完成合格PVP胜负结算
ACH_P17 七日不锈 | 在7个不同自然日完成合格PVP胜负结算
ACH_P18 月下常锋 | 在30个不同自然日完成合格PVP胜负结算
ACH_P19 势均之胜 | 首次合格战胜同级玩家
ACH_P20 同阶争鸣 | 合格战胜同级玩家10次
ACH_P21 抬头见锋 | 首次合格战胜高于本人至少2级的玩家
ACH_P22 越阶而行 | 合格战胜高于本人至少2级的玩家5次
ACH_P23 余烬未冷 | 合格PVP胜利时自身HP大于0且不超过最大HP的10%
ACH_P24 长夜决锋 | 完成至少10回合的合格PVP并获胜
ACH_P25 五地留锋 | 在5个不同正式地区取得合格PVP胜利
ACH_EGG01 你怎么又来了 | 同一生涯独自挑战同一正式敌人生命实例，连续10场真实战败；每场须受到实际伤害并HP归零，换敌、胜利或撤退打断，重复结算不计。
ACH_EGG02 这次轮到你了 | 同一生涯独自连续败于同一正式敌人生命实例至少9场后，在下一场独自有效击败该实例；换敌、其他胜利或撤退打断。
ACH_EGG03 血条只是装饰 | 无其他玩家或NPC队友，独自有效击败至少同级的正式Boss，胜利时恰好剩1点HP。
ACH_EGG04 彩虹不是天气 | 同一场至少同级正式Boss胜利中，本人实际造成至少6种不同非无属性元素伤害；光看特效、未命中或零伤害不计。
ACH_EGG05 全员拒绝躺平 | 至少3名玩家且无NPC队友共同击败不低于全队最高等级的正式Boss；所有人均有有效贡献并存活，结算时每人HP均不超过最大HP的10%。
ACH_EGG06 这盾售后很忙 | 无其他玩家或NPC队友，独自有效击败至少同级正式Boss；该场本人承受至少30次有效敌方命中（包括实际吸收伤害的护盾命中）并存活。
ACH_EGG07 房顶比配方先熟 | 个人三槽炼金累计10次实际炸炉；必须整单失败且系统判定炸炉。普通失败、代工、取消与重复请求不计。
ACH_EGG08 运气开始收费 | 个人三槽炼金累计50批大成功；按实际大成功批数计，额外产物不增加次数，代工不计。
ACH_EGG09 配方拒绝署名 | 个人三槽炼金成功完成30种不同槽位配方；按主材、辅材、催化剂物品编号及顺序去重，数量变化不算新配方，代工不计。
ACH_EGG10 请把剑寄存在门口 | 本人作为操作交涉者，成功和平结算12种不同怪物模板；同种怪物重复不计，仅开启对话、赠礼未成功及队友旁观不计。
ACH_EGG11 万物皆有螺丝 | 个人解构30种不同物品定义且每种至少一次实际得到产物；构造物回拆、代工、零产物不计，重复同种物品不计。
ACH_EGG12 地皮有话要说 | 累计实际完成1000处不同出生实例的资源采集并得到产物；采集中、取消、已被采走及重复领取不计。
