# rootcrown_ram
请勿践踏冒险者|草地上的告示，终于换了一个收件人。
灯灭之后的出口|墙壁不再耀眼，你反而看清了路。
迷宫梦见了门|走不出去的故事，在你这里多了一个动词。
今日闭馆|最后一位守门人，先于访客结束了参观。
# habadragon
请看路|它的名字很长，刹车距离也是。
直行未必优先|路口不承认体型带来的理所当然。
载王请靠边|尊贵的乘客，也该遵守一点地面礼仪。
深渊没有掉头处|一路横冲直撞，终于抵达了自己的尽头。
危险驾驶到期|火焰没能替这趟旅程续上保险。
红灯总算生效|它第一次停下，方式比预期更彻底。
故障灯亮了很久|车主装作没看见，道路却记得每次颠簸。
神圣不免罚单|光环可以戴，路不能随便占。
豪华座驾已熄火|身价很高，停下时仍然一地灰。
远光事故结案|照得别人睁不开眼，不代表前面没有人。
梦里也要系好|王座晃了一路，梦醒时只剩空座。
本次载客结束|请带好随身王冠，后方没有下一班。
# goblin_king
王冠借我看看|戴上去不一定像国王，摘下来倒轻松许多。
陛下请讲道理|他提高了音量，你结束了发言。
王的体面退场|没有仪仗队，泥地也算一种红毯。
地下王国到期|他统治过很深的黑暗，却没管住最后一口气。
王座不耐高温|传位诏书还没写完，扶手已经不够结实。
朱批退回|写得再红，也不能命令胜负改口。
国库里长蘑菇|腐烂的不只是粮食，还有不肯开门的王座。
天授之权待核验|天空从未签过那份任命书。
王冠按克算|摘下来以后，工匠终于敢说实话。
陛下有点晃眼|臣民低头多年，今天总算能看看路。
醒来没有臣民|梦里的万岁，没能多借给他一秒。
从前有个国王|讲故事的人停在这里，孩子们已经会接下一句。
# gruen_mountainheart
山也会心软|它把沉默藏在岩层里，你听见了裂开的那一声。
石头不肯点头|你们谈了很久，最后地面替它作了回答。
移山不必搬家|路还是那条路，只是山学会了让开。
地底少一声鼓|深处的心跳停了，地上的人终于睡稳。
熔心冷却|炽热不是永远，山也需要一场长眠。
山脉不必流血|那道红色裂隙，终于停止模仿伤口。
病山有了风|厚重的壳散开，腐朽第一次无处藏身。
山神摘下尊号|大地托住所有人，并没有另设贵宾席。
金矿不等于心脏|挖开闪亮的表面，里面仍有会停下的东西。
石光散尽|星星照回岩壁，山不必自己发光。
群山梦见平原|一颗执拗的心停下，远方忽然变得宽阔。
请让山安静|它不再回答，但风终于能替它说话。
# necromancer_uz
请勿返聘死者|坟上的草比合同诚实，它知道事情已经结束。
人手不是这么补的|缺员通知贴了很久，你让它不再招人。
续命申请驳回|理由写了三页，签字处只剩一道剑痕。
深处停止招魂|有人终于可以不回应自己的名字。
地狱拒收中介|这笔生意两头收费，最后两头都不欢迎。
血墨签不了来生|纸可以染红，明天不能伪造。
腐败劳动关系|连骨头都在抱怨，他仍说这是大家庭。
神迹不含售后|死而复生的承诺，今天不再接受咨询。
灵魂不收金币|他数了一生的价码，忘了有些门只收沉默。
灯火不替亡者上班|亮得再晚，也不是叫人不许休息的理由。
亡者终于没梦见他|这一次，惊醒的不是被叫回来的那些人。
让名单停在这里|最后一个名字，没有再从纸上站起来。
# threehead_mother
三票也没通过|她们一致同意反对你，你让表决失去了意义。
意见大于头数|三张嘴都很坚决，结果还是只写了一份。
会议到此结束|谁也没说服谁，但总算不用再同时发言。
三声沉入深处|雾里回音少了，归路反而清楚了。
沸沼不留客|三份恶意同锅翻滚，你掀开了最后一层雾。
红字联合签名|她们把警告写得很长，你只回了一个句号。
三份坏主意|不是多长一颗头，腐朽就能分摊少一点。
神谕请逐个说|天意若真有三份，也该允许人听完再答。
三头不等于三倍赔偿|保险员缺席，这场纠纷由你现场结清。
雾里不再晃眼|三道光都灭了，沼泽终于露出本来的边界。
梦中蛇不再打结|三个噩梦各有开头，你给了它们同一个结尾。
多数服从归途|最后留在雾里的意见，是请你平安走出去。
# valk_forge_overseer
今天准点下班|没人敢先放下工具，于是你先让他放下了。
绩效不能当盾|他把指标举得很高，没能挡住最后一下。
优秀员工不参评|这份表彰留给炉火，你只替大家开门。
地下不算工龄|往下再挖一层，也不会多出一个明天。
熔炉停工通知|这次不是检修，是火终于可以小一点。
血汗分开结算|账上写着产量，地上写着代价。
坏掉的不只是机器|润滑油换过许多次，问题一直站在旁边。
奉神加班不批|天上的光，也不该照着永不熄灭的工牌。
奖金不抵欠薪|金光耀眼的承诺，终于到了兑现的时候。
厂区禁止强光|它掩得住灰尘，掩不住每一张疲倦的脸。
梦里没有打卡声|有人睡到自然醒，第一次没有为此道歉。
炉火自己会烧|少了一声催促，铁反而听见了自己的温度。
# fallingstar_mudid
落地请签收|天上寄来的东西，地面并不照单全收。
重力不包退货|它落得很有气势，你处理得很有耐心。
星坠也要排队|再远的来处，也不能插在活人的归途前面。
天外来客失联|深处收不到回信，你也不必再等它解释。
烧不回天上|火越旺，泥土越清楚自己属于哪里。
红星不是许愿灯|你许下的不是愿望，是让今夜到此为止。
星尘也会发霉|远道而来，并不能免去时间的检查。
天降不等于天命|抬头看见的东西，不必跪着接受。
陨石不按克崇拜|估价可以交给商人，敬畏不必。
把星光还回去|它把夜空穿在身上，你让天上重新完整。
流星梦见回程|它曾以为落下就是结局，你替它打开了另一页。
泥土接住了星星|这次坠落没有巨响，只剩大地慢慢合拢。
# frostking_whiteantler
角上还挂着冬天|你经过以后，枝头终于敢有别的季节。
霜期到此截止|寒冷擅长拖延，你替春天写下了日期。
白王请卸冕|雪落在谁头上，都不会自动成为王冠。
冰下有了回声|沉默封得再厚，也没能把你的脚步冻住。
冷火烧完之前|那场不肯熄灭的冬天，终于失去了燃料。
雪不必学会红|白色已经能记住许多事，不必再添一种。
冻住不等于保鲜|藏在严寒里的旧伤，仍然需要结束。
圣雪也会化|祝福没有答应替冬天永远守门。
金角不换春天|季节不收赎金，只认离去的脚步。
雪盲之后|光芒退去时，你看见远方正慢慢变绿。
鹿梦尽处是春山|那对角走出梦境，再也带不走整场冬天。
迟来的融雪|山溪恢复声音，比任何加冕都更像庆典。
# askr_stormroc
天空不是私产|它画过许多盘旋的圈，没有一个算地契。
大风请系好自己|翅膀很宽，也不是每次都能替傲慢兜底。
高处允许别人来|它守着高度，你证明了那不是身份。
逆风没有尽头|你没有等风停，风先等到了你的回答。
雷火不签通行证|天再坏，也不能替它决定谁该留下。
血羽不改航线|那片红色飘下来时，你仍朝着自己的方向。
病风停在翼下|天空终于不用把腐朽带去下一个村庄。
神鹰也有落点|离地再远，影子仍得向大地报到。
金羽不抵航费|这趟旅程的代价，它到落地时才算明白。
闪电不抢镜|最后留在眼前的，是没有低头的那个人。
梦里不再失重|云层散开，你终于握住自己的落点。
风暴请走正门|天空安静以后，屋檐第一次没替人发抖。
# seles_eclipse_watcher
守望也有盲点|它看了月亮很久，忘了地上也有人走来。
月蚀不必延期|夜色已经足够长，你替黎明催了一次场。
长夜不是王座|站得久，不代表世界该永远停在这一页。
深夜有人回信|那束投向虚无的目光，终于遇到了回答。
月背不留余火|烧过整场黑夜的执念，没能烧掉归途。
红月不收祭品|你带来的不是献礼，是一份不肯签字的拒绝。
旧月洗去阴翳|有些黑暗贴得太久，连守望者都当它是皮肤。
神圣也有背面|你绕过光环，见到了它不愿被看见的地方。
金月不能买天明|夜色没有标价，黎明也不接受独占。
群星终于有座位|那道过分耀眼的目光，终于不再挡住整片天。
月蚀之外还有醒来|它守住了梦的边缘，你带走了清晨。
守望者先闭眼|月亮继续走，终于不必向谁解释自己的圆缺。
